ASIN,Title,Brand Name,Design Style,Category,Metal Color,Metal Type,Stone Type,Stone Shape,Carat,Price,Star Rating,Global Rating,Image URL,Product URL,Metal Info,Price_HKD
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,https://www.amazon.com/dp/,N/A / N/A,
B0DQ2GPS8M,"Le Vian 3/4 or 1 1/2 Carat Chocolate Diamond Heart Engagement Ring for Women I 14k White Gold Promise Ring for Her (Brown/H-I, SI2-SI3, cttw) Clear Diamond Accents Wedding Anniversary Band Size 6 to 8",Le,anniversary,ring,white/yellow/rose,14k,diamond,heart,1/2 carat,5999,,,https://m.media-amazon.com/images/I/61gT7fNMj0L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DQ2GPS8M,14k / white gold,46792.2
B0DQ2JSQMX,"Le Vian 3/4 or 1 1/2 Carat Chocolate Diamond Heart Engagement Ring for Women I 14k White Gold Promise Ring for Her (Brown/H-I, SI2-SI3, cttw) Clear Diamond Accents Wedding Anniversary Band Size 6 to 8",Le,anniversary,ring,white/yellow/rose,14k,diamond,heart,1/2 carat,5999,,,https://m.media-amazon.com/images/I/61gT7fNMj0L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DQ2JSQMX,14k / white gold,46792.2
B0FLQMKN58,"IGI Certified Princess Cut Lab Grown Diamond Ring In 3 Ct 10K 14K 18K White Gold Solitaire Lab Grown Diamond Engagement Ring Christmas Gift For Women (3 Carat, Color:E-F, Clarity:VVS2)",IGI,solitaire,ring,white/yellow/rose,10k,lab grown diamond,princess,"3 ct, 3 carat",2599.99,,,https://m.media-amazon.com/images/I/51jaGh6iHrL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FLQMKN58,10k / white gold,20279.92
B0DWHNT11Q,"IGI Certified 2 1/2 Carat Emerald Cut Lab Grown Diamond Pink Halo Ring for Women I 14k White Gold Ring for Her Side Stones (G-H, VS1-VS2, 2.5 cttw) Anniversary Promise Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,emerald,"1/2 carat, 2.5 ct",2499,,,https://m.media-amazon.com/images/I/81dY5HvPZ5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHNT11Q,14k / white gold,19492.2
B0DK495YMS,"IGI Certified 3 1/4 Carat Oval Lab Grown Diamond Engagement Ring for Women - 14k White Gold Pave Band Ring for Her (G-H, VS1-VS2, 3.29 cttw) Wedding Promise Anniversary Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,oval,"1/4 carat, 3.29 ct",2499,,,https://m.media-amazon.com/images/I/71B9on3J5XL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DK495YMS,14k / white gold,19492.2
B0DWHNHWN2,"IGI Certified 2 1/2 Carat Lab Grown Diamond Blue Halo Ring for Women I 14k White Gold Ring for Her w Side Stones (G-H, VS1-VS2, 2.5 cttw) Engagement Promise Anniversary Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/2 carat, 2.5 ct",2499,,,https://m.media-amazon.com/images/I/81VX6gIml5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHNHWN2,14k / white gold,19492.2
B0DWHNT11Q,"IGI Certified 2 1/2 Carat Emerald Cut Lab Grown Diamond Pink Halo Ring for Women I 14k White Gold Ring for Her Side Stones (G-H, VS1-VS2, 2.5 cttw) Anniversary Promise Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,emerald,"1/2 carat, 2.5 ct",2499,,,https://m.media-amazon.com/images/I/81dY5HvPZ5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHNT11Q,14k / white gold,19492.2
,"14K White Gold Engagement Ring, 3 Carat Pear Cut Moissanite Rings, 14k White Gold Engagement Ring",N/A,engagement,ring,white gold,14k,moissanite,pear,3 carat,435.99,4.8,26,https://m.media-amazon.com/images/I/71zCOMdvj9L._AC_UL320_.jpg,https://www.amazon.com/dp/,14k / white gold,3400.72
B0DK495YMS,"IGI Certified 3 1/4 Carat Oval Lab Grown Diamond Engagement Ring for Women - 14k White Gold Pave Band Ring for Her (G-H, VS1-VS2, 3.29 cttw) Wedding Promise Anniversary Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,oval,"1/4 carat, 3.29 ct",2499,,,https://m.media-amazon.com/images/I/71B9on3J5XL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DK495YMS,14k / white gold,19492.2
B0F6D792MT,"IGI Certified 2 1/2 Carat Emerald Cut Lab Grown Diamond Pink Halo Ring for Women I 14k White Gold Ring for Her Side Stones (G-H, VS1-VS2, 2.5 cttw) Anniversary Promise Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,emerald,"1/2 carat, 2.5 ct",2499,,,https://m.media-amazon.com/images/I/81dY5HvPZ5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0F6D792MT,14k / white gold,19492.2
B0DWHNHWN2,"IGI Certified 2 1/2 Carat Lab Grown Diamond Blue Halo Ring for Women I 14k White Gold Ring for Her w Side Stones (G-H, VS1-VS2, 2.5 cttw) Engagement Promise Anniversary Ring Size 6 to 8",IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/2 carat, 2.5 ct",2499,,,https://m.media-amazon.com/images/I/81VX6gIml5L._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHNHWN2,14k / white gold,19492.2
B0DWG9YWWK,IGI Certified 1 1/4 to 3 1/3 Carat Lab Grown Diamond Engagement Ring for Women I 14k White Gold Ring for Her Side Stones (G-H VS1-VS2 cttw) Wedding Promise Anniversary Ring Size 6 to 8,IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/3 carat, 2 ct",1999,,,https://m.media-amazon.com/images/I/71PyojwN+iL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWG9YWWK,14k / white gold,15592.2
